,object_id,taxonomy,name
2757,10687,event,Other Awards
2759,10688,event,Other Awards
2761,10689,event,Other Awards
2764,10691,event,Other Awards
2766,10692,event,Other Awards
2768,10693,event,Other Awards
2770,10694,event,Other Awards
2772,10695,event,Birth
2774,10696,event,Other Awards
2776,10698,event,Home purchase/sale
2778,10699,event,Film Appearance
2782,10708,event,Announcement
2783,10712,event,Death
2784,10712,event,Death Count
2786,10714,event,Judgement
2788,10717,event,Death
2789,10717,event,Murder
2790,10717,event,Death Count
2795,10722,event,Death
2797,10723,event,Death
2800,10725,event,TV Appearance
2802,10726,event,Film Appearance
2804,10729,event,TV Appearance
2806,10732,event,Cameo/Guest Appearance
2808,10739,event,Film Appearance
2810,10742,event,Film Appearance
2812,10743,event,Film Appearance
2814,10745,event,Film Appearance
2816,10746,event,Film Appearance
2818,10747,event,Film Appearance
2820,10748,event,Film Appearance
2822,10749,event,Film Appearance
2824,10750,event,Film Appearance
2826,10751,event,Film Appearance
2828,10752,event,Film Appearance
2830,10753,event,Film Appearance
2832,10754,event,Film Appearance
2835,10759,event,TV Appearance
2837,10761,event,TV Appearance
2839,10762,event,Film Appearance
2841,10764,event,TV Appearance
2843,10767,event,Announcement
2846,10811,event,Film Appearance
2849,10813,event,TV Appearance
2851,10815,event,Film Appearance
2853,10817,event,Film Appearance
2855,10818,event,Film Appearance
2857,10819,event,Film Appearance
2859,10820,event,Film Appearance
2861,10821,event,Film Appearance
2863,10822,event,Film Appearance
2865,10823,event,Film Appearance
2867,10824,event,Film Appearance
2869,10825,event,Film Appearance
2871,10826,event,Film Appearance
2873,10827,event,Film Appearance
2875,10828,event,Film Appearance
2878,10830,event,Film Appearance
2880,10831,event,Film Appearance
2882,10832,event,Film Appearance
2884,10834,event,Film Appearance
2886,10836,event,Announcement
2888,10837,event,Film Appearance
2890,10839,event,Film Appearance
2892,10840,event,Film Appearance
2894,10841,event,Film Appearance
2896,10842,event,Film Appearance
2898,10843,event,Film Appearance
2900,10844,event,Film Appearance
2902,10845,event,Film Appearance
2904,10846,event,Film Appearance
2906,10847,event,Film Appearance
2908,10848,event,Film Appearance
2912,10856,event,Death
2915,10859,event,Makes Statement
2918,10862,event,Birth
2923,10865,event,Announcement
2925,10866,event,Announcement
2932,10872,event,Film Appearance
2934,10875,event,Other Awards
2936,10876,event,Film Appearance
2938,10877,event,Film Appearance
2940,10878,event,Film Appearance
2942,10879,event,Directs
2944,10880,event,Directs
2946,10881,event,Film Appearance
2948,10882,event,Film Appearance
2951,10905,event,Marriage
2954,10906,event,Marriage
2957,10907,event,Marriage
2959,10912,event,Interview
2962,10917,event,Founding
2964,10918,event,Interview
2970,10928,event,Film Appearance
2972,10932,event,Birth
2975,10938,event,Interview
2977,10939,event,Death
2979,10943,event,Judgement
2981,10948,event,Interview
2983,10991,event,Birth
2986,10998,event,Death
2988,11001,event,Birth
2990,11003,event,Film Appearance
2992,11004,event,Film Appearance
2994,11005,event,Film Appearance
2996,11006,event,Film Appearance
2998,11007,event,Directs
3000,11008,event,Film Appearance
3002,11009,event,Film Appearance
3004,11010,event,Produces
3006,11011,event,Film Appearance
3009,11014,event,Film Appearance
3011,11015,event,Film Appearance
3014,11017,event,Produces
3016,11019,event,Film Appearance
3019,11020,event,Marriage
3021,11021,event,Film Appearance
3023,11022,event,Film Appearance
3025,11023,event,Film Appearance
3027,11024,event,Film Appearance
3029,11025,event,Directs
3030,11025,event,Produces
3032,11029,event,Announcement
3035,11030,event,Engagement
3037,11031,event,Birth
3041,11033,event,Pregnancy
3043,11035,event,Film Appearance
3045,11037,event,Film Appearance
3047,11038,event,Film Appearance
3050,11040,event,Announcement
3052,11041,event,Interview
3054,11043,event,Announcement
3056,11044,event,Interview
3058,11045,event,Film Appearance
3060,11046,event,Film Appearance
3062,11047,event,Announcement
3064,11048,event,Film Appearance
3066,11049,event,Film Appearance
3068,11051,event,Film Appearance
3071,11053,event,Film Appearance
3073,11056,event,Film Appearance
3075,11058,event,Film Appearance
3078,11061,event,Film Appearance
3080,11064,event,Trial
3082,11065,event,Film Appearance
3084,11066,event,Illness
3086,11068,event,Illness
3088,11069,event,Film Appearance
3090,11072,event,Film Appearance
3092,11074,event,Film Appearance
3094,11076,event,Film Appearance
3096,11077,event,Film Appearance
3098,11078,event,Film Appearance
3100,11079,event,Film Appearance
3102,11080,event,Film Appearance
3104,11081,event,Film Appearance
3106,11082,event,Film Appearance
3108,11083,event,Film Appearance
3110,11088,event,Birth
3112,11089,event,TV Appearance
3114,11090,event,TV Appearance
3117,11091,event,Band Formed
3138,11126,event,Cameo/Guest Appearance
3141,11128,event,Announcement
3143,11129,event,Divorce
3146,11130,event,Marriage
3148,11131,event,Engagement
3151,11133,event,Arrest
3158,11146,event,Murder
3171,11175,event,Interview
3173,11181,event,Murder
3180,11189,event,Murder
3183,11196,event,Death
3185,11198,event,Murder
3187,11200,event,Murder
3189,11201,event,Birth
3193,11213,event,Film Appearance
3195,11214,event,Film Appearance
3199,11219,event,Invention
3201,11220,event,Birth
3203,11221,event,Birth
3206,11223,event,Birth
3209,11225,event,Birth
3211,11226,event,Illness
3212,11226,event,TV Appearance
3214,11227,event,Fundraising
3216,11228,event,Other Awards
3247,11275,event,Arrest
3249,11279,event,Judgement
3261,11292,event,Makes Statement
3266,11304,event,Birth
3268,11305,event,Birth
3270,11306,event,Birth
3272,11308,event,Birth
3274,11310,event,Other Awards
3276,11311,event,Other Awards
3278,11312,event,Other Awards
3280,11313,event,Other Awards
3282,11314,event,Other Awards
3284,11315,event,Other Awards
3286,11316,event,Other Awards
3288,11317,event,Other Awards
3291,11323,event,Illness
3293,11324,event,TV Appearance
3295,11326,event,Announcement
3297,11327,event,Other Awards
3300,11328,event,Announcement
3302,11329,event,Birth
3304,11330,event,Other Awards
3307,11333,event,Other Awards
3309,11335,event,Emmy
3311,11337,event,Other Awards
3315,11339,event,Judgement
3317,11342,event,Other Awards
3319,11343,event,Birth
3323,11348,event,Other Awards
3325,11351,event,Other Awards
3327,11352,event,Other Awards
3333,11358,event,Romance
3335,11359,event,Marriage
3337,11360,event,Divorce
3339,11361,event,Marriage
3345,11367,event,Emmy
3347,11369,event,TV Appearance
3350,11373,event,Other Awards
3352,11374,event,Birth
3354,11375,event,Produces
3356,11378,event,Other Awards
3358,11381,event,Emmy
3359,11382,event,Birth
3361,11383,event,Play/Show Appearance
3363,11385,event,Tony
3365,11389,event,Birth
3368,11394,event,Other Awards
3371,11398,event,Other Awards
3373,11399,event,Other Awards
3377,11405,event,Produces
3382,11411,event,Marriage
3385,11417,event,Founding
3401,11432,event,Announcement
3418,11475,event,Fired
3423,11480,event,Birth
3427,11490,event,Music Performance
3431,11493,event,Other Awards
3433,11494,event,Emmy
3436,11496,event,Produces
3438,11500,event,Announcement
3444,11507,event,Announcement
3448,11510,event,Quits Job
3451,11518,event,Arrest
3457,11523,event,Film Appearance
3459,11527,event,Film Appearance
3461,11531,event,Film Appearance
3465,11539,event,Announcement
3469,11542,event,Announcement
3472,11544,event,Makes Statement
3475,11546,event,Announcement
3478,11551,event,Illness
3487,11564,event,Founding
3490,11567,event,Announcement
3495,11574,event,Apology
3500,11577,event,Birth
3502,11578,event,Pregnancy
3504,11580,event,Death
3506,11583,event,Produces
